2024-11-05 11:18:21 PM - Unknown (IP: 192.168.68.76): Home Page | Params: {}
2024-11-05 11:19:00 PM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-05 11:19:09 PM - Joe (IP: 100.68.252.32): Tides Data | Params: {}
2024-11-05 11:19:38 PM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-05 11:19:46 PM - Joe (IP: 100.68.252.32): Tides Data | Params: {}
2024-11-05 11:25:45 PM - Joe (IP: 100.68.252.32): Accessed Home Page | Params: {}
2024-11-05 11:27:20 PM - Joe (IP: 100.68.252.32): Accessed Home Page | Params: {}
2024-11-05 11:27:22 PM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-05 11:27:28 PM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-05 11:27:28 PM - Joe (IP: 100.68.252.32): Accessed Home Page | Params: {}
2024-11-05 11:31:33 PM - Joe (IP: 100.68.252.32): Accessed Home Page | Params: {}
2024-11-05 11:34:21 PM - Joe (IP: 100.68.252.32): Weather Data | Params: {}
2024-11-05 11:34:39 PM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:17:40 AM - Unknown (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:17:44 AM - Unknown (IP: 100.68.252.32): Weather Data | Params: {}
2024-11-06 12:17:55 AM - Unknown (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 12:18:03 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 12:18:04 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:19:36 AM - Joe (IP: 100.68.252.32): PGA Data | Params: {}
2024-11-06 12:21:22 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 12:21:23 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 09:59:59 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 09:59:59 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 10:00:12 AM - Joe (IP: 100.68.252.32): Stocks Page | Params: {}
2024-11-06 10:00:15 AM - Joe (IP: 100.68.252.32): Stocks Data | Params: {'symbols': 'AAPL,MSFT,NVDA,CRM'}
2024-11-06 10:00:20 AM - Joe (IP: 100.68.252.32): Weather Page | Params: {}
2024-11-06 10:00:33 AM - Joe (IP: 100.68.252.32): PGA Scores Page | Params: {}
2024-11-06 10:00:33 AM - Joe (IP: 100.68.252.32): PGA Data | Params: {}
2024-11-06 10:00:42 AM - Joe (IP: 100.68.252.32): Tides Data | Params: {}
2024-11-06 10:57:01 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 10:57:04 AM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 10:57:23 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 10:57:23 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:07:02 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 11:07:03 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:10:45 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 11:10:45 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:11:45 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 11:11:45 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:13:05 AM - Joe (IP: 100.68.252.32): Tides Data | Params: {}
2024-11-06 11:13:16 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:15:25 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:15:30 AM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 11:15:36 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 11:15:36 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:16:08 AM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 11:16:13 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 11:16:13 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:17:30 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:17:33 AM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 11:17:39 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 11:17:39 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:20:48 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:21:13 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:21:35 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:21:41 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:21:48 AM - Joe (IP: 100.68.252.32): PGA Scores Page | Params: {}
2024-11-06 11:21:49 AM - Joe (IP: 100.68.252.32): PGA Data | Params: {}
2024-11-06 11:22:28 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:22:31 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:22:43 AM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 11:22:47 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 11:22:47 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:22:55 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:23:08 AM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 11:25:32 AM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 11:31:07 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 11:31:07 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:31:43 AM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 11:31:51 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 11:31:51 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:32:35 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:32:45 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:33:21 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:33:35 AM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 11:33:35 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:37:08 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:41:37 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:41:41 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 11:41:53 AM - Joe (IP: 100.68.252.32): PGA Scores Page | Params: {}
2024-11-06 11:41:53 AM - Joe (IP: 100.68.252.32): PGA Data | Params: {}
2024-11-06 11:45:18 AM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:26:55 PM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 12:28:39 PM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 12:28:39 PM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:28:52 PM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 12:29:40 PM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:33:57 PM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 12:34:07 PM - joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 12:34:08 PM - joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:34:10 PM - joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 12:34:52 PM - joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 12:34:52 PM - joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:41:07 PM - joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 12:41:07 PM - joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:41:19 PM - joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:43:03 PM - joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:46:21 PM - joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 12:46:21 PM - joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:48:14 PM - joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:49:34 PM - joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:52:35 PM - joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:52:38 PM - joe (IP: 100.68.252.32): Logged Out | Params: {}
2024-11-06 12:52:45 PM - Joe (IP: 100.68.252.32): Logged In | Params: {}
2024-11-06 12:52:45 PM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:53:31 PM - Joe (IP: 100.68.252.32): Home Page | Params: {}
2024-11-06 12:53:53 PM - Joe (IP: 100.68.252.32): Logged Out | Params: {}
